"","Symbol","Min","Max","Average","Standard_Deviation","Covariance"
"167","BASML",180.6,350.45,283.301422764228,44.2997961957141,1977.89583422334
"168","BATAINDIA",402.55,821,560.919191919192,98.8291501859203,9722.57627315667
"169","BAYERCROP",3167.95,4987.1,4038.47741935484,349.915793613832,120547.118756761
"170","BBL",678.2,1456.7,952.768585858586,177.577411379964,31276.1483354394
"171","BBTC",320.7,1725.2,735.796464646465,376.472762525672,141414.576869863
"172","BEARDSELL",50.3,598,189.928097345133,152.923108101731,23475.4761190226
"173","BEDMUTHA",10.1,48.7,24.6389898989899,8.29438709473013,67.8319012186644
"174","BEL",153.45,1584.9,841.932525252525,554.189185287627,307625.081806394
"175","BEML",785.05,1934.1,1225.11181818182,317.290734579067,100394.322750828
"176","BEPL",16,192.5,47.1653535353535,43.0023373649909,1846.579699863
"177","BERGEPAINT",180.25,321,248.280885311871,21.7741714691112,456.985008670977
"178","BFINVEST",87.25,415.75,169.373838383838,64.8243896643728,4137.58527483335
"179","BFUTILITIE",317.05,705.25,473.770808080808,80.6827690527398,6487.58526299432
"180","BGLOBAL",3.7,20.65,6.68194726166329,2.90433840423576,8.49110863058428
"181","BGRENERGY",92.45,182.55,128.137474747475,18.8668658824293,352.070196192696
"182","BHAGERIA",104.25,710.55,296.92825607064,100.448799403467,10006.7544350837
"183","BHAGYANGR",20.4,55.6,30.9050955414013,8.87023289216953,78.2365804140127
"184","BHANDARI",2.1,5.55,2.94912663755459,0.733980452102119,0.53885366390868
"185","BHARATFIN",480.15,1027.4,820.64,111.090850292527,12128.9906911765
"186","BHARATFORG",588.9,1274.85,907.42404040404,166.718915875697,27731.3264238028
"187","BHARATGEAR",55.2,209.4,116.60404040404,36.5327882766922,1331.7800354251
"188","BHARATIDIL",5.2,29.45,15.8741228070175,6.85702489696753,47.0454618758435
"189","BHARATRAS",848.15,4257.85,2101.02212121212,899.004234615626,806921.889124494
"190","BHARATWIRE",39.35,152.6,75.5133640552995,28.1201142531195,788.766994524324
"191","BHARTIARTL",289.9,543.2,367.328125,57.9115223816304,3331.40490088384
"192","BHEL",82.65,179.1,131.143939393939,22.8582727083849,520.32246886885
"193","BHUSANSTL",32.85,99.85,52.8233333333333,15.2834244445751,232.140357287449
"194","BIGBLOC",31.5,145.35,76.8050151975684,23.7860085965266,567.562365932426
"195","BIL",440.2,654.7,537.092525252525,47.3234419990614,2219.05259701264
"196","BILENERGY",0.6,1.6,0.889336492890995,0.208415662568395,0.0434038511330504
"197","BILPOWER",0.75,1.85,1.1984593837535,0.240093922756414,0.0583141739842004
"198","BINANIIND",50.95,142.1,78.9311111111111,14.753920489672,212.163358524516
"199","BINDALAGRO",21.4,44.8,27.9251008064516,3.88624614258112,14.6854960797491
"200","BIOCON",322.05,1165.45,706.618548387097,272.917306968871,74532.3295404855
"201","BIRLACABLE",33.75,69.25,45.2509523809524,7.95817084300878,61.2763069457082
"202","BIRLACORPN",321.55,1214.8,707.216767676768,232.706135866016,53955.0037675848
"203","BIRLAMONEY",19.6,157.05,46.0390909090909,29.6012494638259,880.905394092749
"204","BLBLIMITED",3.05,9.65,5.68839835728953,1.32082633344618,1.73478004241979
"205","BLISSGVS",80.65,215.65,152.114545454545,27.6767556660062,752.788776867869
"206","BLKASHYAP",11.5,68,28.3661290322581,14.1040817909978,198.004595633757
"207","BLS",155.4,1947.65,931.12578125,697.685496628427,490243.685914144
"208","BLUEBLENDS",27.55,107.6,56.0749492900609,20.5200822774728,425.275413760121
"209","BLUEDART",9,6771.55,2022.37271615008,2490.06228456124,6222869.25972387
"210","BLUESTARCO",312.85,822.25,556.509090909091,139.867768156248,19499.0864708318
"211","BODALCHEM",47.75,187.15,129.21202020202,38.4676056201233,1483.99151836176
"212","BOHRA",32,58.75,44.9296428571429,7.668063960838,60.7024018499486
"213","BOMDYEING",40,294.9,83.7542424242424,58.8463635771736,3447.70430306097
"214","BOSCHLTD",15948.3,25442.35,21516.901108871,2125.10399324951,4440640.73406133
"215","BPCL",458.55,1133.3,686.135757575758,160.095531210413,25518.0316266716
"216","BPL",24.6,117.4,58.53,21.0569539034569,439.076718623482
"217","BRFL",113.15,224.65,148.283636363636,18.8684728078962,344.518175285241
"218","BRIGADE",134,320.05,201.262323232323,55.3964122442143,3087.2711683638
"219","BRITANNIA",2564.2,4923.25,3411.31585858586,650.90083407973,422241.765555003
"220","BROOKS",71.25,186.55,113.45,23.3905961847607,540.278481781377
"221","BSE",890.7,1131.55,1002.99244444444,58.8927931164042,3404.17386076389
"222","BSELINFRA",2.65,7.4,3.98646464646465,0.867180868193339,0.741470218378113
"223","BSL",42.15,119,71.4764646464646,10.0388298059453,94.8832365251707
"224","BSLGOLDETF",2359,3018,2764.00010330579,113.999138308963,12389.6786959409
"225","BSLIMITED",1.1,29.75,6.15949494949495,6.15743442776794,38.7196600826074
"226","BSLNIFTY",81,111.5,96.459978021978,7.34929096939425,51.2822314590696
"227","BURNPUR",7.3,16.5,11.0207070707071,2.29412215511767,5.17467396638449
"228","BUTTERFLY",139.85,589.3,211.772424242424,81.2579659887034,6536.79842715618
"229","BVCL",14.55,39.4,24.8762626262626,6.4046025937859,40.5166387559809
"230","BYKE",148.6,213.95,171.693333333333,15.4613229082402,240.039753036437
"231","CADILAHC",296.55,549.15,405.927272727273,70.0330415340826,4907.53256210894
"232","CAMLINFINE",73.15,138,93.5648484848485,10.5668312084909,106.598547969574
"233","CANBK",158.45,439.9,288.059696969697,66.299453674976,4372.71203974972
"234","CANDC",8.45,105.6,34.4345454545455,25.7253082854616,660.825573242547
"235","CANFINHOME",437.9,3259.7,1713.86033797217,796.035532208413,632879.821700356
"236","CANTABIL",56.6,125.55,72.8636363636364,8.92147314664833,76.5758538829592
"237","CAPF",353.15,828.1,631.792727272727,125.845736158793,15821.8937957306
"238","CAPLIPOINT",292.9,1455,751.669696969697,316.678734750899,100610.643022942
"239","CAPTRUST",359.1,558.95,458.742857142857,54.5631799180799,2926.74885925256
"240","CARBORUNIV",164.7,389.05,272.407762096774,60.8323856732484,3701.98685860622
